id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes
401757285,2025,9,regular,2025-10-21T23:00:00.000Z,False,False,False,True,,2031.0,Pitbull Stadium,2229,Florida International,fbs,Conference USA,,,,,,338,Kennesaw State,fbs,Conference USA,,,,,,,,
401757286,2025,9,regular,2025-10-21T23:30:00.000Z,False,False,False,True,,3776.0,Joe Aillet Stadium,2348,Louisiana Tech,fbs,Conference USA,,,,,,98,Western Kentucky,fbs,Conference USA,,,,,,,,
401757287,2025,9,regular,2025-10-22T23:30:00.000Z,False,False,False,True,,3695.0,Delaware Stadium,48,Delaware,fbs,Conference USA,,,,,,2393,Middle Tennessee,fbs,Conference USA,,,,,,,,
401757288,2025,9,regular,2025-10-23T01:00:00.000Z,False,False,False,True,,3601.0,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,,,,,,2623,Missouri State,fbs,Conference USA,,,,,,,,
401761634,2025,9,regular,2025-10-23T23:30:00.000Z,False,False,False,True,,4246.0,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,,,,,,6,South Alabama,fbs,Sun Belt,,,,,,,,
401767701,2025,9,regular,2025-10-24T22:00:00.000Z,False,False,False,True,,3826.0,Memorial Field,159,Dartmouth,fcs,Ivy,,,,,,171,Columbia,fcs,Ivy,,,,,,,,
401762492,2025,9,regular,2025-10-24T23:00:00.000Z,False,False,False,True,,4418.0,Jerry Richardson Stadium,2429,Charlotte,fbs,American Athletic,,,,,,249,North Texas,fbs,American Athletic,,,,,,,,
401754372,2025,9,regular,2025-10-24T23:30:00.000Z,False,False,False,True,,3799.0,Lane Stadium,259,Virginia Tech,fbs,ACC,,,,,,25,California,fbs,ACC,,,,,,,,
401760397,2025,9,regular,2025-10-25T02:00:00.000Z,False,False,False,True,,3816.0,Mackay Stadium,2440,Nevada,fbs,Mountain West,,,,,,68,Boise State,fbs,Mountain West,,,,,,,,
401767101,2025,9,regular,2025-10-25T02:30:00.000Z,False,False,False,True,,3757.0,Hornet Stadium,16,Sacramento State,fcs,Big Sky,,,,,,149,Montana,fcs,Big Sky,,,,,,,,
